cik,ticker,exchange,name,group,n_filings,first_filed,last_filed,price_from,price_to
1336917,UAA,NYSE,"Under Armour, Inc.",listed,19,2018-02-28,2022-11-08,2018-02-28,2023-05-27
100517,UAL,Nasdaq,"United Airlines Holdings, Inc.",listed,20,2018-02-22,2022-10-19,2018-02-22,2023-05-07
101538,UAMY,NYSE,UNITED STATES ANTIMONY CORP,listed,20,2018-04-02,2022-11-14,2018-04-02,2023-06-02
1543151,UBER,NYSE,"Uber Technologies, Inc",listed,15,2019-06-04,2022-11-02,2019-06-04,2023-05-21
729986,UBSI,Nasdaq,UNITED BANKSHARES INC/WV,listed,20,2018-03-01,2022-11-09,2018-03-01,2023-05-28
857855,UCB,NYSE,UNITED COMMUNITY BANKS INC,listed,20,2018-02-27,2022-11-04,2018-02-27,2023-05-23
1275014,UCTT,Nasdaq,"Ultra Clean Holdings, Inc.",listed,20,2018-03-14,2022-11-09,2018-03-14,2023-05-28
74208,UDR,NYSE,"UDR, Inc.",listed,20,2018-02-20,2022-10-27,2018-02-20,2023-05-15
1611547,UE,NYSE,Urban Edge Properties,listed,20,2018-02-14,2022-11-03,2018-02-14,2023-05-22
101199,UFCS,Nasdaq,UNITED FIRE GROUP INC,listed,15,2018-02-28,2022-02-25,2018-02-28,2022-09-13
100726,UFI,NYSE,UNIFI INC,listed,20,2018-01-31,2022-11-09,2018-01-31,2023-05-28
912767,UFPI,Nasdaq,UFP INDUSTRIES INC,listed,20,2018-02-28,2022-11-03,2018-02-28,2023-05-22
914156,UFPT,Nasdaq,UFP TECHNOLOGIES INC,listed,20,2018-03-16,2022-11-09,2018-03-16,2023-05-28
884614,UGI,NYSE,UGI CORP /PA/,listed,20,2018-02-06,2022-11-21,2018-02-06,2023-06-09
352915,UHS,NYSE,UNIVERSAL HEALTH SERVICES INC,listed,20,2018-02-28,2022-11-08,2018-02-28,2023-05-27
1511737,UI,NYSE,Ubiquiti Inc.,listed,20,2018-02-08,2022-11-04,2018-02-08,2023-05-23
746838,UIS,NYSE,UNISYS CORP,listed,20,2018-03-12,2022-11-23,2018-03-12,2023-06-11
1670076,ULCC,Nasdaq,"Frontier Group Holdings, Inc.",listed,7,2021-05-13,2022-10-26,2021-05-13,2023-05-14
1308208,ULH,Nasdaq,"UNIVERSAL LOGISTICS HOLDINGS, INC.",listed,20,2018-03-16,2022-11-10,2018-03-16,2023-05-29
1403568,ULTA,Nasdaq,"Ulta Beauty, Inc.",listed,20,2018-04-03,2022-12-01,2018-04-03,2023-06-19
